sobol_index,batch,pressure_atm,requested_vapor_fraction,benzene_feed_fraction,toluene_feed_fraction,stages,feed_stage,feed_stage_fraction,reflux_ratio,bottoms_fraction,feed_flow_kmol_h,feed_temperature_C,x_D_benzene,x_B_benzene,Q_C,Q_R,dwsim_solved,column_calculated,column_error,output_values_valid,composition_valid,temperature_valid,case_valid,error_message
73,2048,1.3349212892353535,0.28343201698735354,0.6586867365986109,0.3413132634013891,26,12,0.46153846153846156,4.306225788407027,0.41375756449997425,100.0,97.72306369306614,0.9999570282469619,0.17515113703198942,2579.822014581927,2591.6067314142874,True,True,,True,True,True,True,
74,2048,1.8516210531815886,0.01113387532532215,0.48798273988068097,0.512017260119319,14,8,0.5714285714285714,2.483994291443378,0.558258275128901,100.0,115.10499187105518,0.9742503160735062,0.10319863668273732,1258.4364619335754,1273.8309737874179,True,True,,True,True,True,True,
75,2048,1.5621039252728224,0.1873749665915966,0.5453199315816164,0.4546800684183836,22,15,0.6818181818181818,1.4686649680137633,0.48778055775910617,100.0,106.76688584228322,0.9622739821651162,0.10747029193462529,1047.5395930092725,1062.085933563113,True,True,,True,True,True,True,
76,2048,1.0013538869097829,0.12154655316844581,0.3011786464601755,0.6988213535398244,18,7,0.3888888888888889,2.9496564346365632,0.5338559221476317,100.0,98.47038613033482,0.6455433773440699,0.0004920614435093202,1646.0175366570247,1656.9640125063856,True,True,,True,True,True,True,
77,2048,1.1308053825050592,0.19566148482263088,0.42575428932905196,0.574245710670948,17,5,0.29411764705882354,3.9501200445927678,0.46971894092857835,100.0,98.59499430319585,0.8027046590675414,0.00020690306597471656,2279.669155728067,2294.6462520425207,True,True,,True,True,True,True,
78,2048,1.682659544982016,0.11093657808378339,0.6214583992958069,0.37854160070419307,23,15,0.6521739130434783,2.105323370732367,0.5017197469249368,100.0,107.36806008015196,0.9996765814053901,0.2458334549709831,1266.022671994592,1276.1734643166878,True,True,,True,True,True,True,
79,2048,1.9810653924942017,0.23532206648960707,0.363999143242836,0.636000856757164,11,6,0.5454545454545454,1.8376806191168724,0.4445143984630704,100.0,121.9455557650029,0.6295156448766097,0.032197885739107486,1357.3209673114575,1366.3023043425128,True,True,,True,True,True,True,
80,2048,1.4554697601124644,0.056920400261878966,0.5831403031945228,0.4168596968054772,29,12,0.41379310344827586,3.2896613750606774,0.5780898582190275,100.0,103.0049862135624,0.9997951455023469,0.2790289210216704,1493.677655897434,1502.6169381757231,True,True,,True,True,True,True,
81,2048,1.492870389483869,0.2295463353395462,0.48451665751636025,0.5154833424836398,20,14,0.7,2.1543843794614075,0.5199634028598666,100.0,106.91407616573241,0.9537558003630412,0.05132173856618933,1259.9678365445577,1277.0919861198538,True,True,,True,True,True,True,
82,2048,1.943640735000372,0.07000912064686417,0.6685004767030477,0.3314995232969523,20,7,0.35,4.00239644413814,0.4519641622900963,100.0,111.62237606044931,0.9977587955335554,0.26925300256320506,2223.420724903591,2232.658597527622,True,True,,True,True,True,True,
